Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Wayne Gretzky,1487,894,1963,2857,1.921,577,1,1979,1999,26,4,18,1
Mark Messier,1756,694,1193,1887,1.075,1910,1,1979,2004,5,6,15,1
Gordie Howe,1767,801,1049,1850,1.047,1685,1,1946,1980,12,4,23,1
Ron Francis,1731,549,1249,1798,1.039,979,1,1981,2004,0,2,4,1
Marcel Dionne,1348,731,1040,1771,1.314,600,1,1971,1989,3,0,8,1
Steve Yzerman,1514,692,1063,1755,1.159,924,1,1983,2006,2,3,9,1
Mario Lemieux,915,690,1033,1723,1.883,834,1,1984,2006,16,2,10,1
Joe Sakic,1378,625,1016,1641,1.1909999999999998,614,1,1988,2009,3,2,12,1
Phil Esposito,1282,717,873,1590,1.24,910,1,1963,1981,9,2,10,1
Raymond Bourque,1612,410,1169,1579,0.98,1141,2,1979,2001,6,1,19,1
Mark Recchi,1652,577,956,1533,0.928,1033,1,1988,2011,0,3,7,1
Paul Coffey,1409,396,1135,1531,1.087,1802,2,1980,2001,3,4,14,1
Stan Mikita,1394,541,926,1467,1.052,1270,1,1958,1980,6,1,9,1
Teemu Selanne,1451,684,773,1457,1.004,660,1,1992,2014,2,1,10,1
Bryan Trottier,1279,524,901,1425,1.114,912,1,1975,1994,4,6,8,1
Adam Oates,1337,341,1079,1420,1.062,415,1,1985,2004,0,0,5,1
Doug Gilmour,1474,450,964,1414,0.959,1299,1,1983,2003,0,1,2,1
Dale Hawerchuk,1188,518,891,1409,1.186,740,1,1981,1997,1,0,5,1
Jari Kurri,1251,601,797,1398,1.118,545,1,1980,1998,0,5,8,1
Luc Robitaille,1431,668,726,1394,0.974,1177,1,1986,2006,1,1,8,1
Brett Hull,1269,741,650,1391,1.096,457,1,1985,2006,2,2,8,1
Mike Modano,1499,561,813,1374,0.917,926,1,1988,2011,0,1,7,1
Johnny Bucyk,1540,556,813,1369,0.889,497,1,1955,1978,0,2,7,1
Brendan Shanahan,1524,656,698,1354,0.888,2489,1,1987,2009,0,3,8,1
Guy Lafleur,1126,560,793,1353,1.202,399,1,1971,1991,9,5,6,1
Mats Sundin,1346,564,785,1349,1.002,1093,1,1990,2009,0,0,8,1
Dave Andreychuk,1639,640,698,1338,0.816,1121,1,1982,2006,0,1,2,1
Denis Savard,1196,473,865,1338,1.119,1336,1,1980,1997,0,1,7,1
Mike Gartner,1432,708,627,1335,0.932,1159,1,1979,1998,0,0,7,1
Pierre Turgeon,1294,515,812,1327,1.026,452,1,1987,2007,0,0,4,0
Gilbert Perreault,1191,512,814,1326,1.113,500,1,1970,1987,1,0,6,1
Alex Delvecchio,1550,456,825,1281,0.826,383,1,1950,1974,0,3,13,1
Al MacInnis,1416,340,934,1274,0.9,1511,2,1981,2004,2,1,12,1
Jean Ratelle,1281,491,776,1267,0.989,276,1,1960,1981,1,0,5,1
Peter Stastny,977,450,789,1239,1.268,824,1,1980,1995,1,0,6,1
Phil Housley,1495,338,894,1232,0.8240000000000001,822,2,1982,2003,0,0,7,1
Norm Ullman,1410,490,739,1229,0.872,712,1,1955,1975,0,0,11,1
Jean Beliveau,1125,507,712,1219,1.084,1029,1,1950,1971,4,10,13,1
Jeremy Roenick,1363,513,703,1216,0.892,1463,1,1988,2009,0,0,9,0
Larry Murphy,1615,287,929,1216,0.753,1084,2,1980,2001,0,4,3,1
Bobby Clarke,1144,358,852,1210,1.058,1453,1,1969,1984,4,2,8,1
Bernie Nicholls,1127,475,734,1209,1.073,1292,1,1981,1999,0,0,3,0
Vincent Damphousse,1378,432,783,1205,0.8740000000000001,1190,1,1986,2004,0,1,3,0
Dino Ciccarelli,1232,608,592,1200,0.974,1425,1,1980,1999,0,0,4,1
Rod Brind'Amour,1484,452,732,1184,0.7979999999999999,1100,1,1988,2010,0,1,1,0
Sergei Fedorov,1248,483,696,1179,0.945,839,1,1990,2009,2,3,6,1
Bobby Hull,1063,610,560,1170,1.101,640,1,1957,1980,5,1,12,1
Daniel Alfredsson,1246,444,713,1157,0.929,510,1,1995,2014,1,0,6,0
Michel Goulet,1089,548,604,1152,1.058,825,1,1979,1994,0,0,5,1
Nicklas Lidstrom,1564,264,878,1142,0.73,514,2,1991,2012,8,4,11,1
Bernie Federko,1000,369,761,1130,1.13,487,1,1976,1990,0,0,2,1
Mike Bossy,752,573,553,1126,1.497,222,1,1977,1987,2,4,7,1
Joe Nieuwendyk,1257,564,562,1126,0.8959999999999999,677,1,1986,2007,2,3,4,1
Darryl Sittler,1096,484,637,1121,1.023,948,1,1970,1985,0,0,4,1
Frank Mahovlich,1181,533,570,1103,0.934,1056,1,1956,1974,1,6,15,1
Glenn Anderson,1129,498,601,1099,0.973,1120,1,1980,1996,0,6,4,1
Theo Fleury,1084,455,633,1088,1.004,1840,1,1988,2003,0,1,7,0
Dave Taylor,1111,431,638,1069,0.962,1589,1,1977,1994,0,0,4,0
Keith Tkachuk,1201,538,527,1065,0.887,2219,1,1991,2010,0,0,5,0
Ray Whitney,1330,385,679,1064,0.8,465,1,1991,2014,0,1,2,0
Pat Verbeek,1424,521,541,1063,0.746,2905,1,1982,2002,0,1,2,0
Joe Mullen,1062,502,561,1063,1.001,241,1,1979,1997,0,3,3,1
Denis Potvin,1060,310,742,1052,0.992,1356,2,1973,1988,4,4,9,1
Henri Richard,1256,358,688,1046,0.833,928,1,1955,1975,0,11,10,1
Bobby Smith,1077,357,679,1036,0.962,917,1,1978,1993,1,1,4,0
Martin St. Louis,1134,391,642,1033,0.911,310,1,1998,2015,4,1,6,1
Doug Weight,1238,278,755,1033,0.8340000000000001,970,1,1990,2011,0,1,4,0
Alexander Mogilny,990,473,559,1032,1.042,432,1,1989,2006,0,1,4,0
Alexei Kovalev,1316,430,599,1029,0.782,1304,1,1992,2013,0,1,3,0
Brian Leetch,1205,247,781,1028,0.853,571,2,1987,2006,4,1,9,1
Patrik Elias,1240,408,617,1025,0.8270000000000001,549,1,1995,2016,0,2,0,0
Brian Bellows,1188,485,537,1022,0.86,718,1,1982,1999,0,1,3,0
Rod Gilbert,1065,406,615,1021,0.959,508,1,1960,1978,0,0,8,1
Dale Hunter,1409,323,697,1020,0.7240000000000001,3565,1,1980,1999,0,0,1,0
Pat LaFontaine,865,468,545,1013,1.171,552,1,1983,1998,0,0,0,1
Steve Larmer,1006,441,571,1012,1.006,532,1,1980,1995,1,1,2,0
Lanny McDonald,1111,500,506,1006,0.905,899,1,1973,1989,0,1,4,1
Brian Propp,1016,425,579,1004,0.988,830,1,1979,1994,0,0,5,0
Paul Kariya,989,402,587,989,1.0,399,1,1994,2010,0,0,7,1
Rick Middleton,1005,448,540,988,0.983,157,1,1974,1988,0,0,3,0
Dave Keon,1296,396,590,986,0.7609999999999999,117,1,1960,1982,2,4,8,1
Andy Bathgate,1069,349,624,973,0.91,624,1,1952,1971,1,1,8,1
Kirk Muller,1349,357,602,959,0.711,1223,1,1984,2003,0,1,6,0
Larry Robinson,1384,208,750,958,0.6920000000000001,793,2,1972,1992,3,6,10,1
Rick Tocchet,1144,440,512,952,0.8320000000000001,2912,1,1984,2002,0,1,4,0
Vincent Lecavalier,1212,421,528,949,0.7829999999999999,848,1,1998,2016,1,1,4,0
Chris Chelios,1651,185,763,948,0.574,2891,2,1983,2010,3,3,11,1
Jason Arnott,1244,417,521,938,0.754,1242,1,1993,2012,0,1,2,0
Steve Thomas,1235,421,512,933,0.755,1306,1,1984,2004,0,0,0,0
Brad Richards,1126,298,634,932,0.828,251,1,2000,2016,1,2,1,0
Neal Broten,1099,289,634,923,0.84,569,1,1980,1997,0,1,2,0
Pavel Datsyuk,953,314,604,918,0.963,232,1,2001,2016,0,2,3,0
Bobby Orr,657,270,645,915,1.393,953,2,1966,1979,17,2,7,1
Gary Roberts,1225,438,472,910,0.743,2560,1,1986,2009,0,1,3,0
Scott Stevens,1635,196,712,908,0.555,2785,2,1982,2004,1,3,13,1
Tony Amonte,1174,416,484,900,0.767,752,1,1990,2007,0,0,5,0
Ray Ferraro,1258,408,490,898,0.7140000000000001,1288,1,1984,2002,0,0,1,0
Brad Park,1113,213,683,896,0.805,1429,2,1968,1985,0,0,9,1
Peter Bondra,1081,503,389,892,0.825,761,1,1990,2007,0,0,5,0
Butch Goring,1107,375,513,888,0.802,102,1,1969,1985,1,4,1,0
Owen Nolan,1200,422,463,885,0.738,1793,1,1990,2010,0,0,5,0
Peter Forsberg,708,249,636,885,1.25,688,1,1994,2011,3,2,5,1
Bill Barber,903,420,463,883,0.978,623,1,1972,1984,0,2,6,1
Dennis Maruk,888,356,522,878,0.989,761,1,1975,1989,0,0,2,0
Markus Naslund,1117,395,474,869,0.778,736,1,1993,2009,1,0,5,0
Cliff Ronning,1137,306,563,869,0.764,453,1,1985,2004,0,0,0,0
Trevor Linden,1372,375,492,867,0.632,895,1,1988,2008,0,0,2,0
Ivan Boldirev,1052,361,505,866,0.823,507,1,1970,1985,0,1,1,0
Eric Lindros,760,372,493,865,1.138,1398,1,1992,2007,2,0,6,1
Yvan Cournoyer,968,428,435,863,0.892,255,1,1963,1979,1,10,6,1
Alex Tanguay,1088,283,580,863,0.7929999999999999,527,1,1999,2016,0,1,1,0
Dean Prentice,1378,391,469,860,0.624,484,1,1952,1974,0,0,4,0
Tomas Sandstrom,983,394,463,857,0.872,1193,1,1984,1999,0,1,2,0
Bill Guerin,1263,429,427,856,0.6779999999999999,1660,1,1991,2010,0,2,4,0
Vyacheslav Kozlov,1182,356,497,853,0.722,704,1,1991,2010,0,2,0,0
Gary Suter,1145,203,641,844,0.737,1349,2,1985,2002,1,1,4,0
Tom Lysiak,919,292,551,843,0.917,567,1,1973,1986,0,0,3,0
John MacLean,1194,413,429,842,0.705,1328,1,1983,2002,0,1,2,0
Ryan Smyth,1270,386,456,842,0.6629999999999999,976,1,1994,2014,0,0,1,0
Scott Mellanby,1431,364,476,840,0.5870000000000001,2479,1,1985,2007,0,0,1,0
John Tonelli,1028,325,511,836,0.813,911,1,1978,1992,0,4,2,0
Jacques Lemaire,853,366,469,835,0.979,217,1,1967,1979,0,8,2,1
Saku Koivu,1124,255,577,832,0.74,809,1,1995,2014,0,0,1,0
Brent Sutter,1111,363,466,829,0.746,1054,1,1980,1998,0,2,1,0
John Ogrodnick,928,402,425,827,0.8909999999999999,260,1,1979,1993,0,0,5,0
Doug Wilson,1024,237,590,827,0.8079999999999999,830,2,1977,1993,1,0,7,1
Red Kelly,1316,281,542,823,0.625,327,2,1947,1967,1,8,12,1
Pierre Larouche,812,395,427,822,1.012,237,1,1974,1988,0,2,2,0
Bernard Geoffrion,883,393,429,822,0.931,689,1,1950,1968,4,6,11,1
Stephane Richer,1054,421,398,819,0.777,614,1,1984,2002,0,2,1,0
John LeClair,967,406,413,819,0.847,501,1,1990,2007,0,1,5,0
Steve Shutt,930,424,393,817,0.878,410,1,1972,1985,0,5,3,1
Thomas Steen,950,264,553,817,0.86,753,1,1981,1995,0,0,0,0
Wilf Paiement,946,356,458,814,0.86,1757,1,1974,1988,0,0,3,0
Peter McNab,954,363,450,813,0.852,179,1,1973,1987,0,0,1,0
Sergei Gonchar,1301,220,591,811,0.623,981,2,1994,2015,0,1,4,0
Pit Martin,1101,324,485,809,0.735,609,1,1961,1979,0,0,4,0
Ken Linseman,860,256,551,807,0.938,1727,1,1978,1992,0,1,0,0
Milan Hejduk,1020,375,430,805,0.789,316,1,1998,2013,1,1,3,0
Garry Unger,1105,413,391,804,0.728,1075,1,1967,1983,0,0,7,0
Ken Hodge,881,328,472,800,0.908,779,1,1964,1978,0,2,3,0
Geoff Courtnall,1049,367,432,799,0.762,1465,1,1983,2000,0,1,0,0
Ed Olczyk,1031,342,452,794,0.77,874,1,1984,2000,0,1,0,0
Wayne Cashman,1027,277,516,793,0.772,1041,1,1964,1983,0,2,1,0
Dany Heatley,869,372,419,791,0.91,620,1,2001,2015,1,0,3,0
Rick Vaive,876,441,347,788,0.9,1445,1,1979,1992,0,0,3,0
Borje Salming,1148,150,637,787,0.6859999999999999,1344,2,1973,1990,0,0,3,1
Claude Lemieux,1215,369,407,786,0.647,1777,1,1983,2009,1,4,0,0
Alexei Yashin,850,337,444,781,0.919,401,1,1993,2007,0,0,3,0
Pavel Bure,702,437,342,779,1.11,484,1,1991,2003,3,0,6,1
Rob Blake,1270,240,537,777,0.612,1679,2,1989,2010,1,1,7,1
Jean Pronovost,998,391,383,774,0.7759999999999999,413,1,1968,1982,0,0,4,0
Dave Christian,1009,340,433,773,0.7659999999999999,284,1,1979,1994,0,0,1,0
Pete Mahovlich,884,288,485,773,0.8740000000000001,916,1,1965,1981,0,4,2,0
Sergei Zubov,1068,152,619,771,0.722,337,2,1992,2009,0,2,3,1
Todd Bertuzzi,1159,314,456,770,0.664,1478,1,1995,2014,0,0,2,0
Pavol Demitra,848,304,464,768,0.906,284,1,1993,2010,0,0,3,0
Rick Kehoe,906,371,396,767,0.847,120,1,1971,1985,0,0,2,0
Vaclav Prospal,1108,255,510,765,0.69,581,1,1996,2013,0,0,0,0
Brian Rolston,1256,342,419,761,0.606,472,1,1994,2012,0,1,1,0
Kevin Dineen,1188,355,405,760,0.64,2229,1,1984,2003,0,0,2,0
Rick MacLeish,846,349,410,759,0.897,434,1,1970,1984,0,2,3,0
Murray Craven,1071,266,493,759,0.7090000000000001,524,1,1982,2000,0,0,0,0
Mike Ridley,866,292,466,758,0.875,424,1,1985,1997,0,0,1,0
