Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,FinalValue,HoF_Probability
Wayne Gretzky,1487,894,1963,2857,1.921,577,1,1979,1999,26,4,18,1,13.401811874389647,0.9999984876009405
Jaromir Jagr,1733,766,1155,1921,1.1079999999999999,1167,1,1990,2018,9,2,10,0,10.812542236328124,0.999979855159992
Mark Messier,1756,694,1193,1887,1.075,1910,1,1979,2004,5,6,15,1,10.812542236328124,0.999979855159992
Gordie Howe,1767,801,1049,1850,1.047,1685,1,1946,1980,12,4,23,1,4.773058212280273,0.9916163940962629
Ron Francis,1731,549,1249,1798,1.0390000000000001,979,1,1981,2004,0,2,4,1,9.018542564392089,0.9998788721186269
Marcel Dionne,1348,731,1040,1771,1.314,600,1,1971,1989,3,0,8,1,14.284179962158202,0.9999993741659444
Steve Yzerman,1514,692,1063,1755,1.159,924,1,1983,2006,2,3,9,1,10.99196270751953,0.9999831638053208
Mario Lemieux,915,690,1033,1723,1.883,834,1,1984,2006,16,2,10,1,10.052847183227538,0.9999569388881436
Joe Sakic,1378,625,1016,1641,1.1909999999999998,614,1,1988,2009,3,2,12,1,10.839489257812499,0.9999803907441757
Phil Esposito,1282,717,873,1590,1.24,910,1,1963,1981,9,2,10,1,11.332954681396483,0.9999880283194706
Raymond Bourque,1612,410,1169,1579,0.98,1141,2,1979,2001,6,1,19,1,11.287012374877929,0.9999874654898973
Mark Recchi,1652,577,956,1533,0.9279999999999999,1033,1,1988,2011,0,3,7,1,9.155470169067382,0.9998943708099368
Paul Coffey,1409,396,1135,1531,1.087,1802,2,1980,2001,3,4,14,1,14.480444229125975,0.9999994856926245
Joe Thornton,1641,421,1090,1511,0.9209999999999999,1250,1,1997,2021,2,0,6,0,-1.1163138980865481,0.24669565756220607
Stan Mikita,1394,541,926,1467,1.052,1270,1,1958,1980,6,1,9,1,2.841433799743652,0.9448741921316345
Teemu Selanne,1451,684,773,1457,1.004,660,1,1992,2014,2,1,10,1,6.5302164916992185,0.998543434656013
Bryan Trottier,1279,524,901,1425,1.114,912,1,1975,1994,4,6,8,1,9.922352111816405,0.9999509367941722
Adam Oates,1337,341,1079,1420,1.062,415,1,1985,2004,0,0,5,1,10.236551559448241,0.9999641650683195
